Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link,Email from Web,Facebook URL,Twitter URL,Google Plus URL
Mark Allen Realty,2015 W Fullerton Ave,Chicago,IL,60647,b/t Damen Ave & Seeley Ave,Bucktown,(773) 938-5220,"Mark Allen Realty, centrally located in Chicago's hot Bucktown neighborhood, services the entire Chicagoland area.We are a full service brokerage assisting both corporations and …Learn more about Mark Allen Realty, Opens a popupSpecialtiesMark Allen Realty, centrally located in Chicago's hot Bucktown neighborhood, services the entire Chicagoland area.We are a full service brokerage assisting both corporations and individuals buy, sell, valuate and renovate properties. We enjoy working with many different people, whether they are searching for their dream home, first condo, or an investment property, and can provide the guidance, knowledge, and experience needed to be successful in today's real estate market. ResourcesWe house 18 well-seasoned agents who pride themselves on customer service while maintaining the highest professional and ethical standards. We have produced over fifty million dollars in annual sales through over one hundred successful transactions, and continue to expand not just our volume but also our knowledge base.HistoryEstablished in 2004.Mark Allen Realty, centrally located in Chicagos hot Bucktown neighborhood, services the entire Chicagoland area.The brokerage was established by two local developers who, based on their needs and goals, decided to open their own boutique firm.The business has continued to grow and flourish, currently housing 18 well-seasoned agents who share the owners passion for real estate and devotion to customer service.Mark Allen Realty is equipped to handle both residential and commercial real estate, as well as the rentals and management of multi-unit apartment buildings.Furthermore, both of the owners have held general contractor licenses and are well versed in the citys building codes, permits, and applications.As a result, they have an eye for faulty construction and cosmetic oversights, and have passed on much of this knowledge and expertise to the rest of the Mark Allen Realty team.Mark Allen Realty represents a true commitment to both client satisfaction and professionalism.Meet the Business Owner",Matt L.,Yes,No,5.0 star rating,205 reviews,http://www.markallenrealty.com,,Mon 8:00 am - 8:00 pm<br>Tue 8:00 am - 8:00 pm<br>Wed 8:00 am - 8:00 pm<br>Thu 8:00 am - 8:00 pm<br>Fri 8:00 am - 8:00 pm<br>Sat 8:00 am - 8:00 pm<br>Sun 8:00 am - 8:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Real Estate Agents, Real Estate Agents",,,"https://s3-media2.fl.yelpcdn.com/bphoto/tDYnWXcHZOKKYOhW92lhSQ/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/tDYnWXcHZOKKYOhW92lhSQ/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/tDYnWXcHZOKKYOhW92lhSQ/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/tDYnWXcHZOKKYOhW92lhSQ/300s.jpg 1.20x",http://www.yelp.com/biz/mark-allen-realty-chicago?osq=real+estate+agents,,,,,,,,,,
The Touchstone Group,1425 W Belmont Ave,Chicago,IL,60657,b/t Greenview Ave & Southport Ave,Lakeview,(872) 240-1213,"Real estate brokerage servicesLandlord services for investorsRent-vs.-sell and market analysisApartment finding services for tenantsHome remodeling, including kitchens and …Learn more about The Touchstone Group, Opens a popupSpecialtiesReal estate brokerage servicesLandlord services for investorsRent-vs.-sell and market analysisApartment finding services for tenantsHome remodeling, including kitchens and bathroomsGeneral contractingBuilding maintenanceHistoryEstablished in 2008.Touchstone Group was founded in 2008 in order to provide the best and most comprehensive suite of real estate services in the market. Rather than simply focus on transactional volume, we strive to learn about our clients and provide a personalized solution for all aspects of their real estate strategy.Meet the Business Owner",Courtland T.,Yes,No,4.0 star rating,25 reviews,http://www.touchstonechicago.com,,Mon 9:00 am - 5:00 pm<br>Tue 9:00 am - 5:00 pm<br>Wed 9:00 am - 5:00 pm<br>Thu 9:00 am - 5:00 pm<br>Fri 9:00 am - 5:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Property Management, Contractors, Real Estate Agents, Property Management, Contractors, Real Estate Agents",,,"https://s3-media1.fl.yelpcdn.com/bphoto/TO3WG_WgKmuDXPd6vMe-OA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/TO3WG_WgKmuDXPd6vMe-OA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/TO3WG_WgKmuDXPd6vMe-OA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/TO3WG_WgKmuDXPd6vMe-OA/300s.jpg 1.20x",http://www.yelp.com/biz/the-touchstone-group-chicago?osq=real+estate+agents,,,,,,,,,,
Matt Laricy,375 W Erie St Ste 103-A,Chicago,IL,60654,,"River North, Near North Side",(708) 250-2696,"Matt specializes in all facets of the Real Estate business, whether it be navigating the way for first timers, trying to score that perfect distressed property, or providing help in …Learn more about Matt Laricy, Opens a popupSpecialtiesMatt specializes in all facets of the Real Estate business, whether it be navigating the way for first timers, trying to score that perfect distressed property, or providing help in the luxury market, he knows and has experienced it all. Matt credentialsinclude being recognized as one of the Top ""30 Agents Under 30"" by the National Association of Realtors, in the Top 1% for Sales; Top 5 Agent in Chicago, and Named one of the ""Who's Who"" Realtors by Chicago Agent Magazine. As a third generation realtor, you know your in good hands with Matt.HistoryEstablished in 1978.Matt Laricy is a third generation realtor and heads his own team, The Matt Laricy Group. He attended Eastern Illinois University with the goal of acquiring skills most beneficial for a career in real estate. His hard work, charisma, and true passion for his business has helped Matt's reputation as a qualified realtor quickly rise. Some of Matt's accomplishments are being in the top 1% for sales; Top 5 Agent in Chicago, labeled one of Chicago's ""Who's Who"" Realtors by Chicago Agent Magazine, & is the winner Chicago Agent's Choice Award for Industry MVP. His most coveted honor was being recognized as one of the Top 30 Agents Under 30 by the National Association of Realtors. Matt specializes in all facets of the Real Estate business, whether it be navigating the way for first timers, trying to score that perfect distressed property, or providing help in the luxury market, he knows and has experienced it all.Meet the Manager",,Yes,No,5.0 star rating,129 reviews,http://mattlaricygroup.com/,,Mon 6:00 am - 11:30 pm<br>Tue 6:00 am - 11:30 pm<br>Wed 6:00 am - 11:30 pm<br>Thu 6:00 am - 11:30 pm<br>Fri 6:00 am - 11:30 pm<br>Sat 6:00 am - 11:30 pm<br>Sun 6:00 am - 11:30 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Real Estate Agents, Real Estate Agents",,,"https://s3-media2.fl.yelpcdn.com/bphoto/382lBlhESqMXh8VzVs9UWw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/382lBlhESqMXh8VzVs9UWw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/382lBlhESqMXh8VzVs9UWw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/382lBlhESqMXh8VzVs9UWw/300s.jpg 1.20x",http://www.yelp.com/biz/matt-laricy-chicago?osq=real+estate+agents,,,,,,,mlaricy@americorpre.com,,,
Hayley Westhoff @properties,1875 N Damen Ave,Chicago,IL,60647,b/t Cortland St & Moffat St,Bucktown,(773) 729-0594,"As a Top 1% Producer in Chicago, I help buyers, sellers, and investors find their dream home, sell their homes with great results, and help investors find and analyze opportunities …Learn more about Hayley Westhoff @properties, Opens a popupSpecialtiesAs a Top 1% Producer in Chicago, I help buyers, sellers, and investors find their dream home, sell their homes with great results, and help investors find and analyze opportunities and market conditions for high return on investment. It is so important to have a trusted, seasoned agent helping you when buying real estate, probably the biggest purchase you will ever make in your life.I enjoy helping my clients achieve their dreams of home ownership and always put my clients' interests first. I fully dedicate myself to my clients and my purpose is to commit to your dream. As your Realtor, I promise to negotiate as if it were my own money, advise as if my clients were my own children, think outside the box, find creative solutions to your unique situation, and remember the property transaction is your home. My career has been established on a foundation of trust, skilled negotiation, and personal care.If you are looking to buy or sell a home, I am happy to help!Meet the Business Owner",Hayley W.,Yes,No,5.0 star rating,18 reviews,https://www.atproperties.com/agents/5556/hayley-westhoff,,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Real Estate Agents, Real Estate Agents",,,"https://s3-media3.fl.yelpcdn.com/bphoto/HsI4RxdKihDDmD4cb1hQ0Q/ls.jpg"" srcset=""https://s3-media3.fl.yelpcdn.com/bphoto/HsI4RxdKihDDmD4cb1hQ0Q/258s.jpg 1.03x,https://s3-media3.fl.yelpcdn.com/bphoto/HsI4RxdKihDDmD4cb1hQ0Q/348s.jpg 1.39x,https://s3-media3.fl.yelpcdn.com/bphoto/HsI4RxdKihDDmD4cb1hQ0Q/300s.jpg 1.20x",http://www.yelp.com/biz/hayley-westhoff-properties-chicago?osq=real+estate+agents,,,,,,,,,,
Michael Michalak - RE/MAX,8 E Randolph St,Chicago,IL,60601,b/t Wabash Ave & State St,The Loop,(312) 527-4417,"Buyers, Sellers, Investment property, and real estate adviser.As a downtown real estate professional, I have in depth local knowledge and can provide you with the information you …Learn more about Michael Michalak - RE/MAX, Opens a popupSpecialtiesBuyers, Sellers, Investment property, and real estate adviser.As a downtown real estate professional, I have in depth local knowledge and can provide you with the information you need on home buying, home selling, financing and owning real estate.RE/MAX provides a wide range of real estate services and utilizes the most current technology, processes and systems to assist you with all of your home buying and home selling needs. Whether you are new to the market, a current homeowner looking to move-up, or an experienced investor, I have the expertise, proven track record, and resources to help you achieve your real estate goals.HistoryEstablished in 2006.Formerly a project manager with an engineering background, I strive for the best results for my clients. Like a project, clients will always know where the transaction is and about any bumps in the road and how we are handling them.My goal is complete satisfaction and that my clients are so blown away by the level of service that they are referring friends and colleagues and posting 5-star reviews on Yelp. Since I have lived downtown and specialize here, I can provide my clients with expertise they won't get from other real estate brokers. Each downtown building has a different personality and I'm able to let my clients know what to expect before seeing the property in person.Meet the Business Owner",Michael M.,Yes,No,5.0 star rating,54 reviews,http://www.remax.com/realestateagentoffice/chicago-il-60657-michaelmichalak-id29137385.html,,Mon 8:00 am - 6:00 pm<br>Tue 8:00 am - 6:00 pm<br>Wed 8:00 am - 6:00 pm<br>Thu 8:00 am - 6:00 pm<br>Fri 8:00 am - 6:00 pm<br>Sat 8:00 am - 6:00 pm<br>Sun Closed<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Real Estate Agents, Insurance, Chiropractors, Massage, Physical Therapy, Real Estate Law, Business Law, Real Estate Agents",,,"https://s3-media2.fl.yelpcdn.com/bphoto/3mxTChUh-H-XoYOMkUFGpg/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/3mxTChUh-H-XoYOMkUFGpg/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/3mxTChUh-H-XoYOMkUFGpg/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/3mxTChUh-H-XoYOMkUFGpg/300s.jpg 1.20x",http://www.yelp.com/biz/michael-michalak-re-max-chicago-2?osq=real+estate+agents,,,,,,,,,,
Ask Nagel Realty,1919 W Division St,Chicago,IL,60622,b/t Winchester Ave & Wolcott Ave,"West Town, Ukrainian Village",(312) 933-1432,"We are the West Town Neighborhood Experts!** Primary Home Including Luxury** First Time Home Buyers** Multi-Unit Investment PropertiesA Top 1% Producing Dream Team That Works …Learn more about Ask Nagel Realty, Opens a popupSpecialtiesWe are the West Town Neighborhood Experts!** Primary Home Including Luxury** First Time Home Buyers** Multi-Unit Investment PropertiesA Top 1% Producing Dream Team That Works Smarter and Harder For Our Clients!The Ask Nagel Realty team is ""customer centric"" team working with both buyers and sellers.We back each other up, and work together to constantly learn and stay a step ahead of the competition.HistoryEstablished in 2013.Ask Nagel Realty started in 2013 with 3 brokers and have grown to 10. We specialize in Residential primary home sales and purchases, multi-unit apartment building investments, focusing on West Town including Bucktown, Wicker Park, East Village, UK Village, Pulakski Park, Noble Square, West Bucktown, & Smith Park.Meet the Business Owner",Greg N.,Yes,No,5.0 star rating,65 reviews,http://www.asknagel.com,,Mon 9:00 am - 5:30 pm<br>Tue 9:00 am - 5:30 pm<br>Wed 9:00 am - 5:30 pm<br>Thu 9:00 am - 5:30 pm<br>Fri 9:00 am - 5:30 pm<br>Sat 9:00 am - 5:30 pm<br>Sun 9:00 am - 5:30 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Real Estate Agents, Real Estate Agents",,,"https://s3-media4.fl.yelpcdn.com/bphoto/gH4NVLVUSeET0DNpoav0Rw/ls.jpg"" srcset=""https://s3-media4.fl.yelpcdn.com/bphoto/gH4NVLVUSeET0DNpoav0Rw/258s.jpg 1.03x,https://s3-media4.fl.yelpcdn.com/bphoto/gH4NVLVUSeET0DNpoav0Rw/348s.jpg 1.39x,https://s3-media4.fl.yelpcdn.com/bphoto/gH4NVLVUSeET0DNpoav0Rw/300s.jpg 1.20x",http://www.yelp.com/biz/ask-nagel-realty-chicago-2?osq=real+estate+agents,,,,,,,,,,
Sam Shaffer-Chicago Properties,2348 W Grand Ave,Chicago,IL,60612,b/t Western Ave & Claremont Ave,"Ukrainian Village, West Town",(773) 297-9792,"Buying or selling a home is one of the most important things you will ever do, and I will make sure it goes as smoothly and successfully as possible. With over 15 years of experience …Learn more about Sam Shaffer-Chicago Properties, Opens a popupSpecialtiesBuying or selling a home is one of the most important things you will ever do, and I will make sure it goes as smoothly and successfully as possible. With over 15 years of experience and expertise in selling homes in Chicago, I will get you the best results, whether you are looking to buy, sell or invest.I will help you find the home of your dreams by taking the time to listen and understand your needs and desires. Once I know what you want, I will work tirelessly to find the right home for you, because no one should have to compromise when it comes to such a huge purchase.If you're looking for an aggressive agent that will fight hard to get you what you deserve, but won't make you feel pressured or give you the hard sell then contact me at anytime.HistoryEstablished in 2001.Sam Shaffer-Chicago Properties is a boutique real estate company located in the heart of West Town representing buyers, sellers and investors since 2001. With a client-first philosophy, the focus of Chicago Properties is to provide the best customer service and expertise in the Chicagoland area.Meet the Business Owner",Sam S.,Yes,No,5.0 star rating,78 reviews,http://www.chicagopropertiesgroup.com,,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 8:00 am - 10:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,Yes,"Real Estate Agents, Real Estate Agents",,,"https://s3-media2.fl.yelpcdn.com/bphoto/xEcHy1d3Q9IgEQCKvEMXVA/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/xEcHy1d3Q9IgEQCKvEMXVA/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/xEcHy1d3Q9IgEQCKvEMXVA/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/xEcHy1d3Q9IgEQCKvEMXVA/300s.jpg 1.20x",http://www.yelp.com/biz/sam-shaffer-chicago-properties-chicago?osq=real+estate+agents,,,,,,,sam@chiprop.com,,,
Brooke Daitchman - Dream Town Realty,1950 N Sedgwick St,Chicago,IL,60614,b/t Lincoln Ave & Wisconsin St,Lincoln Park,(773) 412-3047,"Chicago's Premier Real Estate ConsultantChicago Association of Realtors Top ProducerTop 1% Sales Agent In IllinoisCareer volume exceeding $167 millionCareer units exceeding 450 …Learn more about Brooke Daitchman - Dream Town Realty, Opens a popupSpecialtiesChicago's Premier Real Estate ConsultantChicago Association of Realtors Top ProducerTop 1% Sales Agent In IllinoisCareer volume exceeding $167 millionCareer units exceeding 450 unitsFeatures on top rated HGTV House HuntersSells properties at 99% of asking priceCatering to sellers, investors, builders, and purchasersHistoryEstablished in 2004.Chicago's Premier Real Estate Consultant· Chicago Association of Realtors Top Producer, 2009-2015· Top 1% Sales Agent in Illinois · Career volume over $195 million· Career units exceeding 450 units· Featured on top rated HGTV House Hunters· Sells properties at 98% of asking price · Catering to sellers, investors, builders, and purchasersWorking with both buyers and sellers in new construction and resales, Brooke develops a plan to fit each individual's needs. Communication is a critical part of this business and Brooke promises to make sure those lines are always open. Brooke has worked hard to maintain her positive client relationships enabling her to have a large client base of referrals business.It is Brooke's philosophy that buying or selling property should be a smooth, enjoyable process. Brooke will do everything in her power to ensure her clients the most reliable, knowledgeable, and honest service available.",,Yes,No,5.0 star rating,31 reviews,http://www.dreamtown.com/agents/brooke-daitchman.html,,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,No,,,,,,,,,,,,,,,,,,,,,,No,"Real Estate Agents, Real Estate Agents",,,"https://s3-media1.fl.yelpcdn.com/bphoto/SMx5s0MlmcJeUbseKxjCaA/ls.jpg"" srcset=""https://s3-media1.fl.yelpcdn.com/bphoto/SMx5s0MlmcJeUbseKxjCaA/258s.jpg 1.03x,https://s3-media1.fl.yelpcdn.com/bphoto/SMx5s0MlmcJeUbseKxjCaA/348s.jpg 1.39x,https://s3-media1.fl.yelpcdn.com/bphoto/SMx5s0MlmcJeUbseKxjCaA/300s.jpg 1.20x",http://www.yelp.com/biz/brooke-daitchman-dream-town-realty-chicago?osq=real+estate+agents,,,,,,,yuval@dreamtown.com,,,
,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.yelp.com/biz/danny-lewis-chicago?osq=real+estate+agents,,,,,,,,,,
Amanda McMillan - @properties,1875 N Damen Ave,Chicago,IL,60647,b/t Moffat St & Cortland St,Bucktown,(773) 537-1300,"At no other time in an individual's life does one put more trust in someone less familiar than when buying or selling a home. That's why it's important for a client to get to know me …Learn more about Amanda McMillan - @properties, Opens a popupSpecialtiesAt no other time in an individual's life does one put more trust in someone less familiar than when buying or selling a home. That's why it's important for a client to get to know me as well as for me to know them. By listening to my clients and finding out what's really important to them, I am able to understand them and their dreams. In doing so, I am able to truly work with my clients and become more than a REALTOR®; instead becoming their advisor, confidant and support.Because of this, I am able to advise my clients in a highly educated yet understandable manner. I approach each transaction as if it were my own, educating my clients on all factors and information that could affect their decision. No pressure will ever be applied to my clients to make a decision. Due to the relationship we have established and the thoroughness I invest, I believe there should never be any needed if I have done my job correctly.HistoryEstablished in 2002.Less than 9 years ago, Chicago Home Partner (CHP) set out to provide the people of Chicago with a better alternative to real estate representation.Breaking the barriers of the typical salesperson mold, the company began with the vision that, through an educational and consultative approach, their clients would be equipped to make confident decisions. This philosophy, along with other related ones, has brought much success to Chicago Home Partner. Including, but not limited to:-Top 10 Agents for Prudential Preferred Properties, 2006, 2007, 2008, 2009, 2010-Top 1% of Chicago Realtors 2007, 2008, 2009, 2010-Quality Service Certification's ""Best of the Best"" Ranking #2 & #3 in the Country for 2006, 2007 respectively-Metro Real Estate Magazine's 1st Top 40 Under 40, 2006-Chairman's Circle Recipient, 2006, 2010-President Circle Recipient, 2005, 2007, 2008, 2009-Leading Edge Recipient, 2004-Honor Society, 2003Meet the Business Owner",Amanda M.,Yes,No,5.0 star rating,57 reviews,http://www.chicagohomepartner.com/testimonials,,Mon 8:00 am - 8:00 pm<br>Tue 8:00 am - 8:00 pm<br>Wed 8:00 am - 8:00 pm<br>Thu 8:00 am - 8:00 pm<br>Fri 8:00 am - 8:00 pm<br>Sat 8:00 am - 8:00 pm<br>Sun 8:00 am - 8:00 pm<br>,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,"Real Estate Agents, Toy Stores, Insurance, Hair Salons, Hair Removal, Spray Tanning, Coffee & Tea, Furniture Stores, Home Decor, Rugs, Real Estate Agents",,,"https://s3-media2.fl.yelpcdn.com/bphoto/42OZkYVQax2oXJs0dPuZgw/ls.jpg"" srcset=""https://s3-media2.fl.yelpcdn.com/bphoto/42OZkYVQax2oXJs0dPuZgw/258s.jpg 1.03x,https://s3-media2.fl.yelpcdn.com/bphoto/42OZkYVQax2oXJs0dPuZgw/348s.jpg 1.39x,https://s3-media2.fl.yelpcdn.com/bphoto/42OZkYVQax2oXJs0dPuZgw/300s.jpg 1.20x",http://www.yelp.com/biz/amanda-mcmillan-properties-chicago?osq=real+estate+agents,,,,,,,,,,
